#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
GIMD1:100507096	4	0	4	0	0
PIK3CG:5294	41	3	26	2	3
PDX1:3651	122	6	58	2	6
MAP3K9:4293|MAP3K9-DT:100506411	2	0	2	0	0
KLK4:9622	35	1	9	5	1
PLIN1:5346	86	0	43	6	0
ESCO2:157570	473	2	87	79	7
DNAAF5:54919	437	0	183	17	1
RNLS:55328	51	0	17	0	0
PALB2:79728	4921	1	2439	763	44
SALL3:27164	71	0	68	0	0
CSF3R:1441	477	4	243	30	5
SNRK:54861	5	0	1	0	0
RNASE4:6038|EGILA:116435281	1	0	1	0	0
VPS54:51542	30	0	22	0	0
EXOSC1:51013	4	1	3	0	1
GSX2:170825	16	1	8	1	1
GDAP1L1:78997	11	0	10	0	0
RIPOR3:140876	1	0	1	0	0
KIAA0586:9786|TIMM9:26520	2	0	0	0	0
TFCP2L1:29842	19	0	14	1	0
PLA2G2D:26279	4	0	4	0	0
AIMP2:7965|EIF2AK1:27102	34	0	20	2	0
SKIDA1:387640	31	0	31	0	0
TIMELESS:8914	53	0	43	1	0
RPS3:6188	1	0	0	0	0
PLEKHM2:23207	649	0	296	0	0
C2orf72:257407	3	0	3	0	0
NRBP2:340371	11	0	9	0	0
CRTAM:56253	10	0	7	0	0
OAT:4942	526	29	137	47	40
XCL1:6375	3	0	3	0	0
NOX4:50507	18	0	12	0	0
HEATR1:55127	67	0	56	0	0
OR8G1:26494	9	0	9	0	0
SPN:6693	15	0	12	0	0
FBLN7:129804	11	0	11	0	0
AFG3L2:10939	334	34	117	12	35
CNTLN:54875	45	0	38	0	0
CCNF:899|TBC1D24:57465	2	1	1	0	1
ARL16:339231|LOC112533681:112533681	2	0	0	0	1
CRTC1:23373	18	0	12	0	0
CXCR2:3579	146	1	81	2	1
CFHR3:10878	46	0	19	0	0
CGRRF1:10668	6	0	5	0	0
HLA-DRA:3122	2	0	0	0	0
SALL4:57167	253	1	107	33	1
CNGA4:1262	20	0	18	0	0
COL8A1:1295	13	0	11	0	0
ADCY3:109|CENPO:79172	8	0	1	0	0
C9:735	257	1	126	24	2
SRI:6717	8	0	1	1	0
BDNF:627|BDNF-AS:497258	37	1	15	1	1
DGKZ:8525	265	0	132	1	0
ZSWIM7:125150	8	1	5	2	1
DNAH17:8632|PGS1:9489	11	0	7	0	0
DSC1:1823|DSCAS:101927698	23	0	21	0	0
ATP6AP1L:92270	5	0	0	0	0
DSCAM:1826	118	2	61	2	2
TSPEAR:54084|KRTAP10-8:386681	11	0	11	0	0
SEPTIN3:55964	1	0	1	0	0
SFSWAP:6433	18	0	17	0	0
PRR14:78994	14	0	14	0	0
ICA1:3382	23	0	19	0	0
EPHA2:1969	241	5	85	7	7
GOT1:2805	12	0	10	1	0
DCK:1633	2	0	1	0	0
CD3D:915	134	0	54	6	1
SMARCE1:6605	717	9	320	28	12
CUL1:8454	2	0	2	0	0
ERCC3:2071	483	2	199	25	3
SGTA:6449	7	0	5	0	0
SKP2:6502	5	0	5	0	0
